"","player","pitch_type","year","rank","perc","sim_player"
"511",612434,"FF","2015","first","96.9913612080597",622554
"512",612434,"FF","2016","first","97.3093114948808",622554
"513",501563,"FF","2017","first","95.707296669961",621107
"514",656302,"FF","2019","first","94.012876684832",641745
"515",656302,"FF","2021","first","94.8998414452825",622250
"516",656302,"FF","2022","first","94.9662988195042",614179
"517",446399,"FF","2015","first","96.026282926828",660906
"518",446399,"FF","2016","first","95.6025590211097",446321
"519",446399,"FF","2017","first","93.7922254281531",660906
"520",458584,"FF","2015","first","94.063192493886",592761
"521",458584,"FF","2016","first","94.4742048500578",592761
"522",543017,"FF","2016","first","95.1691789010752",656794
"523",570666,"FF","2016","first","96.7443068998223",676534
"524",570666,"FF","2017","first","98.1146649802532",676534
"525",570666,"FF","2018","first","95.0831642622967",547001
"526",570666,"FF","2019","first","95.6335456540647",544727
"527",570666,"FF","2021","first","95.9345726377474",689225
"528",570666,"FF","2022","first","96.2352136866966",664337
"529",468504,"FF","2016","first","93.7810444665465",570666
"530",468504,"FF","2017","first","95.1204692114776",656818
"531",468504,"FF","2018","first","92.2581730763345",425844
"532",468504,"FF","2019","first","92.3172843563023",425844
"533",468504,"FF","2021","first","94.6233880926633",642545
